PRICE_EXTENSION,TREND_POSITION,RELATIVE_POSITION,PARTICIPATION,DOWNSIDE_RISK_CONTEXT,last_observed_session,HERD_STATE,HERD_STAGE,ticker,sector_etf,universe_role,signal_date
48.41269841269841,57.936507936507944,45.17195767195767,84.3915343915344,74.07407407407408,2026-07-17,58.97817460317461,CALM,A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
24.007936507936506,13.293650793650794,38.888888888888886,54.1005291005291,59.39153439153439,2026-07-17,32.57275132275132,SCATTER,ABT,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
67.46031746031746,53.902116402116405,54.16666666666667,73.71031746031747,71.42857142857143,2026-07-17,62.3098544973545,DRIFT,ACGL,XLF,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
22.552910052910054,11.243386243386242,45.50264550264551,30.324074074074076,99.33862433862434,2026-07-17,27.40575396825397,SCATTER,ACN,XLK,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
46.95767195767196,37.43386243386243,49.66931216931217,48.31349206349206,71.42857142857143,2026-07-17,45.59358465608466,CALM,ADBE,XLK,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
43.25396825396825,70.76719576719577,78.17460317460318,43.02248677248677,89.81481481481481,2026-07-17,58.804563492063494,CALM,ADI,XLK,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
98.87566137566138,96.6931216931217,77.64550264550265,90.21164021164022,19.113756613756614,2026-07-17,90.85648148148148,RUSH,ADM,XLP,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
47.94973544973545,29.76190476190476,53.43915343915344,51.88492063492063,39.285714285714285,2026-07-17,45.75892857142857,CALM,ADP,XLI,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
12.3015873015873,11.243386243386244,47.61904761904762,46.52777777777778,94.51058201058201,2026-07-17,29.422949735449734,SCATTER,ADSK,XLK,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
41.20370370370371,48.87566137566138,65.2116402116402,25.992063492063494,70.1058201058201,2026-07-17,45.320767195767196,CALM,AEE,XLU,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
44.77513227513228,55.15873015873015,67.46031746031747,25.0,71.29629629629629,2026-07-17,48.098544973544975,CALM,AEP,XLU,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
77.44708994708994,97.15608465608466,62.5,56.74603174603175,1.3227513227513228,2026-07-17,73.46230158730158,DRIFT,AES,XLU,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
85.1521164021164,67.46031746031747,57.20899470899471,63.19444444444444,47.94701986754967,2026-07-17,68.25396825396825,DRIFT,AFL,XLF,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
42.39417989417989,38.55820105820106,60.78042328042328,59.09391534391534,24.867724867724867,2026-07-17,50.20667989417989,CALM,AIG,XLF,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
85.38359788359789,79.49735449735451,56.216931216931215,49.37169312169313,5.555555555555555,2026-07-17,67.61739417989419,DRIFT,AIZ,XLF,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
38.359788359788354,25.198412698412696,45.63492063492063,52.87698412698413,48.148148148148145,2026-07-17,40.517526455026456,CALM,AJG,XLF,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
58.994708994709,69.44444444444444,79.96031746031747,51.62037037037037,62.632275132275126,2026-07-17,65.00496031746032,DRIFT,AKAM,XLK,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
49.60317460317461,53.37301587301587,42.98941798941799,21.82539682539683,22.288359788359788,2026-07-17,41.94775132275132,CALM,ALB,XLB,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
80.48941798941799,66.73280423280423,67.26190476190476,71.56084656084657,29.232804232804234,2026-07-17,71.5112433862434,DRIFT,ALGN,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
68.05555555555554,72.02380952380952,66.86507936507937,73.57804232804233,52.64550264550265,2026-07-17,70.1306216931217,DRIFT,ALL,XLF,INDEPENDENT_CURRENT_CONSTITUENTS,2026-07-17
