queue_id,batch_id,cik,route,event_count,first_event_date,last_event_date,first_accession_number,reviewed_anchor_count,anchor_symbols,first_anchor_date,last_anchor_date,required_evidence,collection_status,review_status,promotion_status
PRE2019-0022,B003,0001385157,REVIEWED_ANCHOR_BOUNDARY,8,2007-06-13,2019-04-24,0001047469-07-004966,3,TEL,2019-07-24,2023-03-16,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0023,B003,0001065088,REVIEWED_ANCHOR_BOUNDARY,2,2007-10-01,2008-10-06,0000891618-07-000579,1,EBAY,2024-01-24,2024-01-24,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0024,B003,0000723125,REVIEWED_ANCHOR_BOUNDARY,12,2007-10-02,2016-06-30,0000723125-07-000086,1,MU,2022-12-21,2022-12-21,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0025,B003,0001316835,REVIEWED_ANCHOR_BOUNDARY,1,2007-10-11,2007-10-11,0000950134-07-021165,1,BLDR,2021-01-04,2021-01-04,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0026,B003,0000712515,REVIEWED_ANCHOR_BOUNDARY,5,2007-11-01,2012-05-07,0001193125-07-232534,3,EA,2023-03-29,2026-01-06,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0027,B003,0001071739,REVIEWED_ANCHOR_BOUNDARY,2,2007-12-12,2011-04-28,0001071739-07-000055,1,CNC,2022-06-17,2022-06-17,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0028,B003,0001144519,REVIEWED_ANCHOR_BOUNDARY,5,2008-03-03,2018-08-01,0001047469-08-002116,2,BG,2019-07-22,2019-08-13,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0029,B003,0000050863,REVIEWED_ANCHOR_BOUNDARY,3,2008-03-31,2016-04-19,0000050863-08-000115,3,INTC,2024-10-31,2025-07-24,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0030,B003,0000037996,REVIEWED_ANCHOR_BOUNDARY,7,2008-05-22,2019-03-27,0001140361-08-013317,7,F,2019-06-06,2025-12-15,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0031,B004,0001140859,REVIEWED_ANCHOR_BOUNDARY,1,2008-07-24,2008-07-24,0001193125-08-156922,1,ABC,2020-01-30,2020-01-30,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0032,B004,0000001800,REVIEWED_ANCHOR_BOUNDARY,8,2008-08-21,2019-02-25,0001104659-08-054227,2,ABT,2019-12-19,2021-06-03,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0033,B004,0000065984,REVIEWED_ANCHOR_BOUNDARY,5,2008-12-23,2017-01-09,0000065984-08-000195,1,ETR,2024-03-12,2024-03-12,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0034,B004,0000031462,REVIEWED_ANCHOR_BOUNDARY,6,2009-01-20,2019-02-04,0001104659-09-002946,5,ECL,2021-02-16,2026-02-10,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0035,B004,0001001250,REVIEWED_ANCHOR_BOUNDARY,22,2009-02-05,2018-03-23,0001104659-09-006611,13,EL,2019-06-13,2026-07-07,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0036,B004,0000922224,REVIEWED_ANCHOR_BOUNDARY,4,2009-02-24,2011-10-13,0000922224-09-000017,1,PPL,2021-03-18,2021-03-18,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0037,B004,0000320187,REVIEWED_ANCHOR_BOUNDARY,1,2009-03-18,2009-03-18,0000320187-09-000035,2,NKE,2023-12-21,2026-03-05,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0038,B004,0001109357,REVIEWED_ANCHOR_BOUNDARY,13,2009-06-18,2018-02-02,0001193125-09-133009,3,EXC,2020-08-21,2021-04-30,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0039,B004,0000009389,REVIEWED_ANCHOR_BOUNDARY,6,2010-03-23,2017-09-01,0001104659-10-015787,1,BALL,2022-08-04,2022-08-04,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0040,B004,0001326160,REVIEWED_ANCHOR_BOUNDARY,10,2010-09-17,2017-08-29,0001104659-10-049015,5,DUK,2020-07-06,2023-06-12,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0041,B005,0000885725,REVIEWED_ANCHOR_BOUNDARY,9,2011-04-20,2018-11-15,0000885725-11-000019,2,BSX,2020-11-18,2020-12-01,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0042,B005,0001140536,REVIEWED_ANCHOR_BOUNDARY,4,2011-05-10,2014-04-29,0001299933-11-001437,1,WTW,2024-10-01,2024-10-01,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0043,B005,0000100517,REVIEWED_ANCHOR_BOUNDARY,1,2011-07-14,2011-07-14,0001193125-11-188093,3,UAL,2020-07-08,2020-10-14,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0044,B005,0000858877,REVIEWED_ANCHOR_BOUNDARY,4,2011-07-18,2016-08-17,0001193125-11-190246,5,CSCO,2020-08-12,2026-05-13,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0045,B005,0001489393,REVIEWED_ANCHOR_BOUNDARY,2,2011-10-03,2012-01-31,0000950123-11-088103,3,LYB,2022-01-28,2025-06-05,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0046,B005,0001324424,REVIEWED_ANCHOR_BOUNDARY,2,2011-12-27,2015-11-18,0001193125-11-352242,2,EXPE,2020-02-25,2024-02-26,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0047,B005,0000007084,REVIEWED_ANCHOR_BOUNDARY,1,2012-01-13,2012-01-13,0001193125-12-011819,1,ADM,2024-11-05,2024-11-05,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0048,B005,0000021665,REVIEWED_ANCHOR_BOUNDARY,5,2012-10-25,2017-10-27,0001157523-12-005370,4,CL,2022-01-28,2026-05-01,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0049,B005,0000874761,REVIEWED_ANCHOR_BOUNDARY,1,2012-11-01,2012-11-01,0001193125-12-446900,6,AES,2020-06-23,2026-01-16,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0050,B005,0000075677,REVIEWED_ANCHOR_BOUNDARY,2,2014-03-26,2017-08-21,0000075677-14-000014,4,PKG,2020-04-28,2025-12-04,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0051,B006,0001116132,REVIEWED_ANCHOR_BOUNDARY,4,2014-06-19,2016-04-26,0001157523-14-002613,4,TPR,2020-04-30,2024-11-14,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0052,B006,0001285785,REVIEWED_ANCHOR_BOUNDARY,1,2014-07-23,2014-07-23,0001243786-14-000007,3,MOS,2019-06-18,2026-04-08,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0053,B006,0000849399,REVIEWED_ANCHOR_BOUNDARY,2,2014-11-05,2016-05-12,0000849399-14-000006,1,SYMC,2019-08-08,2019-08-08,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0054,B006,0000087347,REVIEWED_ANCHOR_BOUNDARY,3,2014-12-02,2016-12-06,0001193125-14-430607,3,SLB,2019-09-04,2020-06-16,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0055,B006,0000079879,REVIEWED_ANCHOR_BOUNDARY,5,2015-04-16,2018-06-28,0000079879-15-000018,2,PPG,2019-06-10,2020-06-08,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0056,B006,0001267238,REVIEWED_ANCHOR_BOUNDARY,1,2015-06-10,2015-06-10,0001181431-15-008082,1,AIZ,2022-12-13,2022-12-13,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0057,B006,0000035527,REVIEWED_ANCHOR_BOUNDARY,2,2015-06-22,2016-09-13,0001193125-15-229502,1,FITB,2025-09-09,2025-09-09,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0058,B006,0000827052,REVIEWED_ANCHOR_BOUNDARY,2,2015-11-09,2018-01-31,0000827052-15-000188,1,EIX,2019-05-28,2019-05-28,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0059,B006,0000769397,REVIEWED_ANCHOR_BOUNDARY,2,2016-02-03,2017-11-28,0000769397-16-000055,3,ADSK,2020-02-03,2026-01-22,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0060,B006,0001090012,REVIEWED_ANCHOR_BOUNDARY,1,2016-02-16,2016-02-16,0001193125-16-465602,2,DVN,2019-12-18,2021-02-17,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0061,B007,0001002047,REVIEWED_ANCHOR_BOUNDARY,2,2016-02-17,2016-11-03,0001102624-16-002144,2,NTAP,2020-08-26,2023-01-31,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0062,B007,0000002969,REVIEWED_ANCHOR_BOUNDARY,1,2016-04-04,2016-04-04,0001193125-16-528737,2,APD,2025-02-24,2026-06-30,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0063,B007,0001437107,REVIEWED_ANCHOR_BOUNDARY,1,2016-05-04,2016-05-04,0001437107-16-000068,2,WBD,2022-10-24,2022-12-14,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0064,B007,0001037038,REVIEWED_ANCHOR_BOUNDARY,3,2016-06-07,2018-06-07,0000950142-16-003884,1,RL,2020-09-22,2020-09-22,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0065,B007,0000217346,REVIEWED_ANCHOR_BOUNDARY,4,2016-08-30,2018-12-06,0001104659-16-142094,5,TXT,2019-12-06,2024-12-18,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0066,B007,0001521332,REVIEWED_ANCHOR_BOUNDARY,2,2016-08-31,2019-02-28,0001521332-16-000119,1,APTV,2021-11-09,2021-11-09,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0067,B007,0000877212,REVIEWED_ANCHOR_BOUNDARY,2,2016-09-20,2016-11-01,0001193125-16-713972,1,ZBRA,2025-12-15,2025-12-15,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0068,B007,0000788784,REVIEWED_ANCHOR_BOUNDARY,1,2016-10-05,2016-10-05,0001193125-16-731087,2,PEG,2019-06-21,2021-08-13,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0069,B007,0000707549,REVIEWED_ANCHOR_BOUNDARY,1,2016-10-06,2016-10-06,0001193125-16-731756,1,LRCX,2023-01-25,2023-01-25,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0070,B007,0001467858,REVIEWED_ANCHOR_BOUNDARY,3,2017-03-06,2018-11-27,0001467858-17-000060,3,GM,2020-02-18,2025-10-14,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0071,B008,0000106535,REVIEWED_ANCHOR_BOUNDARY,1,2017-06-05,2017-06-05,0000106535-17-000025,1,WY,2019-12-17,2019-12-17,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0072,B008,0000721371,REVIEWED_ANCHOR_BOUNDARY,1,2017-10-04,2017-10-04,0000721371-17-000128,2,CAH,2019-08-08,2021-03-12,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0073,B008,0001666700,REVIEWED_ANCHOR_BOUNDARY,1,2017-11-02,2017-11-02,0001666700-17-000022,2,DD|DWDP,2019-05-29,2020-04-20,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0074,B008,0001048911,REVIEWED_ANCHOR_BOUNDARY,2,2018-05-29,2019-01-18,0001193125-18-176815,4,FDX,2020-06-19,2026-01-29,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0075,B008,0001000228,REVIEWED_ANCHOR_BOUNDARY,1,2018-07-09,2018-07-09,0001193125-18-214186,1,HSIC,2019-11-26,2019-11-26,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0076,B008,0000046080,REVIEWED_ANCHOR_BOUNDARY,1,2018-10-22,2018-10-22,0000046080-18-000134,2,HAS,2022-10-04,2023-12-11,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0077,B008,0001551152,REVIEWED_ANCHOR_BOUNDARY,1,2019-01-04,2019-01-04,0001104659-19-000836,1,ABBV,2025-01-10,2025-01-10,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0078,B008,0000024545,REVIEWED_ANCHOR_BOUNDARY,1,2019-02-12,2019-02-12,0000024545-19-000006,2,TAP,2019-10-30,2025-10-20,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0079,B008,0000068505,HISTORICAL_MASTER_DISCOVERY,10,2004-09-28,2009-04-06,0001193125-04-162709,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0080,B008,0000077476,HISTORICAL_MASTER_DISCOVERY,7,2004-09-30,2019-02-15,0001193125-04-164450,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0081,B009,0000010795,HISTORICAL_MASTER_DISCOVERY,2,2004-10-04,2006-09-29,0000950117-04-003508,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0082,B009,0001069202,HISTORICAL_MASTER_DISCOVERY,8,2004-10-06,2009-02-05,0000950134-04-014644,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0083,B009,0001045609,HISTORICAL_MASTER_DISCOVERY,2,2004-10-13,2009-03-25,0000950134-04-014925,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0084,B009,0000831259,HISTORICAL_MASTER_DISCOVERY,1,2004-12-08,2004-12-08,0000831259-04-000041,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0085,B009,0000021076,HISTORICAL_MASTER_DISCOVERY,3,2004-12-16,2014-09-22,0000021076-04-000117,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0086,B009,0000940944,HISTORICAL_MASTER_DISCOVERY,2,2004-12-17,2007-05-07,0000940944-04-000189,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0087,B009,0001101239,HISTORICAL_MASTER_DISCOVERY,2,2005-01-06,2005-12-22,0001193125-05-002412,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0088,B009,0000789570,HISTORICAL_MASTER_DISCOVERY,7,2005-01-11,2010-10-12,0000950124-05-000156,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0089,B009,0001053507,HISTORICAL_MASTER_DISCOVERY,2,2005-02-28,2006-08-07,0001193125-05-038774,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0090,B009,0000076334,HISTORICAL_MASTER_DISCOVERY,2,2005-03-24,2005-07-11,0001193125-05-059721,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0091,B010,0000086312,HISTORICAL_MASTER_DISCOVERY,1,2005-03-30,2005-03-30,0000893750-05-000182,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0092,B010,0000860731,HISTORICAL_MASTER_DISCOVERY,1,2005-04-28,2005-04-28,0000950134-05-008390,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0093,B010,0000060086,HISTORICAL_MASTER_DISCOVERY,4,2005-05-03,2006-04-04,0000060086-05-000031,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0094,B010,0000882184,HISTORICAL_MASTER_DISCOVERY,4,2005-06-03,2007-03-16,0001299933-05-002702,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0095,B010,0001164727,HISTORICAL_MASTER_DISCOVERY,3,2005-06-29,2016-12-13,0001193125-05-134270,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0096,B010,0000896159,HISTORICAL_MASTER_DISCOVERY,1,2005-07-21,2005-07-21,0001193125-05-146056,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0097,B010,0000936340,HISTORICAL_MASTER_DISCOVERY,3,2005-07-29,2015-12-17,0000950124-05-004526,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0098,B010,0001090872,HISTORICAL_MASTER_DISCOVERY,9,2005-08-15,2014-09-19,0001193125-05-168663,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
