ticker,cik,company_name,exchange,selection_priority,cik_link_status
DLO,0001846832,dLocal Ltd,Nasdaq,01418352af6c7f0160a42a14d6ec272edf9d9b936a956b12b7904c71a12e2796,UNIQUE_CIK_NAME_CANDIDATE
QS,0001811414,QuantumScape Corp,Nasdaq,01450357e65fd27508583fc2ee7bab48021207dd585b54128088b9f624c01c6c,UNIQUE_CIK_NAME_CANDIDATE
VVX,0001601548,"V2X, Inc.",NYSE,0152cb43c4281ead9938982ec8ddd498ed023d939a5d4611c0ebb6d45338ea30,UNIQUE_CIK_NAME_CANDIDATE
OXLCZ,0001495222,Oxford Lane Capital Corp.,Nasdaq,0155fba8ad22864a53ac1b55ae9bc818b1a1790c222f53ef56fd43f569f25815,UNIQUE_CIK_NAME_CANDIDATE
HASI,0001561894,"HA Sustainable Infrastructure Capital, Inc.",NYSE,0171238451b66e61fa5cb66207ee79e86fdc6dd109bf6a6d9bfa4685514eceb0,UNIQUE_CIK_NAME_CANDIDATE
BCHT,0000728385,Birchtech Corp.,NYSE,0189e59fde7b51bb499b9e7925a6d699487b0fbf63ca488a658de60d8e184725,UNIQUE_CIK_NAME_CANDIDATE
GEOS,0001001115,GEOSPACE TECHNOLOGIES CORP,Nasdaq,01a0e1402c411227722884f2e7094bd0366cb8a90fe31c8137db8f96a57f7468,UNIQUE_CIK_NAME_CANDIDATE
HOG,0000793952,"HARLEY-DAVIDSON, INC.",NYSE,01b5e752599aeae0ec1f7ede5122135ab3ac1dcfbdb4a004a4f5099e71ba43bf,UNIQUE_CIK_NAME_CANDIDATE
LFS,0002030277,"LEIFRAS Co., Ltd.",Nasdaq,01c4ab7c329eccf529e296d4381ac0f9ecba9f228e0e27a75fcb10c74403061c,UNIQUE_CIK_NAME_CANDIDATE
RILYP,0001464790,"BRC Group Holdings, Inc.",Nasdaq,01d311345ccc80ce2bdc7563293fcf24712f806ff0928fe53206808cca1db852,UNIQUE_CIK_NAME_CANDIDATE
YYAI,0001674440,AIRWA INC.,Nasdaq,01ef06b461c6d66ea4b80b97689d55faaaf41ab336844f9781f179e2fd6d69ba,UNIQUE_CIK_NAME_CANDIDATE
CCIX,0002006291,Churchill Capital Corp IX/Cayman,Nasdaq,0202b1d1507e77e32ecd67f677fb0a9c1d8669b39781b1b069512ac44edcded4,UNIQUE_CIK_NAME_CANDIDATE
POWL,0000080420,POWELL INDUSTRIES INC,Nasdaq,020ad1e3a529be940ec3c9bc2b023fed23376f93fac36e6e452951a759449d32,UNIQUE_CIK_NAME_CANDIDATE
CIVB,0000944745,"CIVISTA BANCSHARES, INC.",Nasdaq,020c7b2c8bd1b8dd6216613cb26a858c2ea9df19bbab8d8c54beefdced48c6f4,UNIQUE_CIK_NAME_CANDIDATE
GHM,0000716314,GRAHAM CORP,NYSE,0220d78c7e405f46f01896c186d442d6a1ce57017ecb63ca7c24df2fa094b34b,UNIQUE_CIK_NAME_CANDIDATE
ATCH,0001963088,"AtlasClear Holdings, Inc.",NYSE,0222cbe1eeb7785c9a73a896233d88fc1f2a30bb0107c9816c340997c983edab,UNIQUE_CIK_NAME_CANDIDATE
KLTR,0001432133,KALTURA INC,Nasdaq,02323a4c521be45df3dfd1bf28b94ac7edb908ef627643e481ae8b86d77efece,UNIQUE_CIK_NAME_CANDIDATE
RDGT,0001856084,Ridgetech Inc.,Nasdaq,02641b4c7047bed6bb1ab3dedad09c40ed20586b493ef147293c6b658f975599,UNIQUE_CIK_NAME_CANDIDATE
SANA,0001770121,"Sana Biotechnology, Inc.",Nasdaq,0266c734495e43f09b2b39e5c831c17fe4ae9bcb2acb6074862a2ba8fc3ae70c,UNIQUE_CIK_NAME_CANDIDATE
SER,0001708599,"Serina Therapeutics, Inc.",NYSE,026f35f488215ea0949cf46bd9ce2485786a4ac49803d095258a0e03237d6fea,UNIQUE_CIK_NAME_CANDIDATE
RMBI,0001767837,"Richmond Mutual Bancorporation, Inc.",Nasdaq,027883d8b02dd6d36713a2249b89d6d13cb330ac8619391585452ec1a542a459,UNIQUE_CIK_NAME_CANDIDATE
CTSO,0001175151,Cytosorbents Corp,Nasdaq,027fd79ebb25fd32edb58b47d48c836328b9c1b5bd0d8a690b4e732f77ea6d82,UNIQUE_CIK_NAME_CANDIDATE
XPON,0001894954,Expion360 Inc.,Nasdaq,0288c8396cbbaae602de7397ab0657515652840fe9998e15460b4c7ed563d52d,UNIQUE_CIK_NAME_CANDIDATE
TXMD,0000025743,"TherapeuticsMD, Inc.",Nasdaq,02a0a20eec54221750acacf4088df651995cb3637ea545a30323dd04c6e6dbbc,UNIQUE_CIK_NAME_CANDIDATE
NMIH,0001547903,"NMI Holdings, Inc.",Nasdaq,02a76a0597d80b958f22a9b648974e434f4ee1c75da9faba6b0ebbc143c41e8c,UNIQUE_CIK_NAME_CANDIDATE
HEI,0000046619,HEICO CORP,NYSE,02c7db9d72bb5264168a67793b1040020db6c1ab52ec54b25a635652f384ef5d,UNIQUE_CIK_NAME_CANDIDATE
NPT,0002014337,Texxon Holding Ltd,Nasdaq,02caedc3e60b50d7fc1f4a677e174914251c66aa9a8c0cb53121aaa9db8cfa70,UNIQUE_CIK_NAME_CANDIDATE
CKX,0000352955,"CKX LANDS, INC.",NYSE,02ced0b6e4923addc4f6881d5033af1df158c7cfb68e8b62910adc9133c0e668,UNIQUE_CIK_NAME_CANDIDATE
TBRG,0001169445,"TruBridge, Inc.",Nasdaq,02cf89252d4986f2ab7430073fcee401341cd3ccd1dd9cf38abe9a4567cf8a87,UNIQUE_CIK_NAME_CANDIDATE
VRNS,0001361113,VARONIS SYSTEMS INC,Nasdaq,02ddc9af17f0b16ced24e36193935747b9ba530c6879aef0e0c9080e703a20ee,UNIQUE_CIK_NAME_CANDIDATE
MKDWW,0001991332,MKDWELL Tech Inc.,Nasdaq,030ddba9ad5605f9d2f882ca3f055847086bf330e3e89f03981bb5ed349b6abd,UNIQUE_CIK_NAME_CANDIDATE
TGLS,0001534675,Tecnoglass Inc.,NYSE,032b580669efaf01f6f8f86f50ade89fab33f899487033b462e4242b2bf1ae58,UNIQUE_CIK_NAME_CANDIDATE
IOSP,0001054905,INNOSPEC INC.,Nasdaq,033f72680a41a1fdc2b90cf8687e06d4c487d60980a297581c6f34726eec32c6,UNIQUE_CIK_NAME_CANDIDATE
VNTG,0002027160,Vantage Corp (Singapore),NYSE,0348bc8d8fe1581d2d765397d5f2b8436426cbbc76b3f854abd4d933158b10ae,UNIQUE_CIK_NAME_CANDIDATE
DYORU,0002079292,Insight Digital Partners II,Nasdaq,035a058336a5d218dac6024e27164a91868e449f18a77283dd700511a8bc17a9,UNIQUE_CIK_NAME_CANDIDATE
YOU,0001856314,"Clear Secure, Inc.",NYSE,0361752ecf9af64020cf4408c12ccc8c8f7f22a15e78f57d5237e5378c635a55,UNIQUE_CIK_NAME_CANDIDATE
EGO,0000918608,ELDORADO GOLD CORP /FI,NYSE,036908347c3ac07ce507e615c05646a801d7c6260f31157c884107c04a56741d,UNIQUE_CIK_NAME_CANDIDATE
GTES,0001718512,Gates Industrial Corp plc,NYSE,03744a0a7419edee2bb8e3f9a3cf56596b95d4c2bd465742ff9d8db9073941c7,UNIQUE_CIK_NAME_CANDIDATE
MD,0000893949,"Pediatrix Medical Group, Inc.",NYSE,03781c2753de0955769d7e3fdd23ac72832a7ae8d3a728995d6aeb84e2e37356,UNIQUE_CIK_NAME_CANDIDATE
RPAY,0001720592,Repay Holdings Corp,Nasdaq,03870f289c8ca0b68caa1cdf9f96b15683763ad67eb91a2f7a8a2f2888c6552e,UNIQUE_CIK_NAME_CANDIDATE
ILLR,0001769624,Triller Group Inc.,Nasdaq,03a72ce7eb07774e78ced9910702bf1e4e2763d95120d32972f5d222159ca224,UNIQUE_CIK_NAME_CANDIDATE
YTRA,0001516899,"Yatra Online, Inc.",Nasdaq,03b062e53e777fc5050e761646fdd2ea12e9a1edad04e375cf616352cd26c3f5,UNIQUE_CIK_NAME_CANDIDATE
CMIIU,0002088805,Columbus Circle Capital Corp II,Nasdaq,03b9bb808d4471b3e0ccad8e33bac4c4e92c60f6640e34179389b5497a2ce11a,UNIQUE_CIK_NAME_CANDIDATE
PRK,0000805676,PARK NATIONAL CORP /OH/,NYSE,03be1d46e341cc9c630000366d0dc1e45fa2619d9e8740c315b1a4dbbc533581,UNIQUE_CIK_NAME_CANDIDATE
MWG,0001941500,Multi Ways Holdings Ltd,NYSE,03cbf00fc4d17daea7d4a43759fff565210f37675c9c41fc9f001c14065a2c17,UNIQUE_CIK_NAME_CANDIDATE
KINS,0000033992,"KINGSTONE COMPANIES, INC.",Nasdaq,03d3dd3055529c6c4787ba59a96b91b22b194e92d255129913c7dd000953b7ee,UNIQUE_CIK_NAME_CANDIDATE
NIO,0001736541,NIO Inc.,NYSE,03f827fdc495265db5de230058b34d3b87ed2146914faac5166861bacd2cb8c0,UNIQUE_CIK_NAME_CANDIDATE
YDES,0002011674,YD Bio Ltd,Nasdaq,0402f9bcc95ac83d90c0d841c58ea8af27705155f28feeca05528e91ae10cfb1,UNIQUE_CIK_NAME_CANDIDATE
WVVI,0000838875,WILLAMETTE VALLEY VINEYARDS INC,Nasdaq,040be0006498ea7898b14721d0f0a03fac7e26851b672195fdef759a5080fc37,UNIQUE_CIK_NAME_CANDIDATE
AEVA,0001789029,"Aeva Technologies, Inc.",Nasdaq,041e497bb6dfa10201ef985142328bf5e8d23905a99dc65f90d16bb4119c8f1b,UNIQUE_CIK_NAME_CANDIDATE
BOBS,0002085187,"Bob's Discount Furniture, Inc.",NYSE,0429574f41ebf869a3c44d4ad5d657eac41b5f8823cfa0d12becd906d5504e3a,UNIQUE_CIK_NAME_CANDIDATE
UFG,0002021688,Uni-Fuels Holdings Ltd,Nasdaq,042b78366ffdc11d5763b757d723d3486289c69bef3dfb7029484dd2585c9c34,UNIQUE_CIK_NAME_CANDIDATE
TLNCU,0002073340,Talon Capital Corp.,Nasdaq,042e89251e5867111178a96aa63404b8a415afd9345c16e6b1bdfbf4d9a7ee70,UNIQUE_CIK_NAME_CANDIDATE
SLVO,0001053092,CREDIT SUISSE AG,Nasdaq,04372228b794c2c797f3bd04a36ea6def7155c0b0c3e10aadd236cfc9c88345a,UNIQUE_CIK_NAME_CANDIDATE
CUBWW,0002015955,Lionheart Holdings,Nasdaq,0454fbb873c485fd8ff77b89521738f84fd246052f5ce86d3442a090103485ec,UNIQUE_CIK_NAME_CANDIDATE
AMBQ,0001500412,"Ambiq Micro, Inc.",NYSE,046583842be0b928b029a3661d5f091302ea168f2522ecc41ab0f16abf53ba93,UNIQUE_CIK_NAME_CANDIDATE
BHFAL,0001685040,"Brighthouse Financial, Inc.",Nasdaq,046efd76176dc4a1551bf23dfbf1ed36b636ac0ed4e4a85f0bd51778a80aaa75,UNIQUE_CIK_NAME_CANDIDATE
ESTC,0001707753,Elastic N.V.,NYSE,047876a7995d825c65750cac2f04c9a8e951dcd104115d41c14b2d88ed929859,UNIQUE_CIK_NAME_CANDIDATE
MWYN,0002030522,"Marwynn Holdings, Inc.",Nasdaq,0484b43876fd5a1249dd8f49297a7f3e5dae6308b9fdd5b3e29f123b4329b7e7,UNIQUE_CIK_NAME_CANDIDATE
ALDFW,0002031561,Aldel Financial II Inc.,Nasdaq,04a00e8af11248b3764da32c0ef85004efa210b797479abcca1e5879edb05ed3,UNIQUE_CIK_NAME_CANDIDATE
HCWC,0001948864,HEALTHY CHOICE WELLNESS CORP.,NYSE,04a584b469d39656cea574367d2efc7e5e49ce030d4e9a8e0e7f4db871937411,UNIQUE_CIK_NAME_CANDIDATE
PURR,0002078856,Hyperliquid Strategies Inc,Nasdaq,04ad0ad049be431927741cf43422047818057c913d46d185b37c8086dc631856,UNIQUE_CIK_NAME_CANDIDATE
BPOP,0000763901,"POPULAR, INC.",Nasdaq,04ad46d20b471498337bf9dca288af557ce3662e0628158cccb24be10b1f84e5,UNIQUE_CIK_NAME_CANDIDATE
SAMG,0001549966,Silvercrest Asset Management Group Inc.,Nasdaq,04affe829c083cbdcc962bf618ea2af66742411d08819da7771ae8174cfe0474,UNIQUE_CIK_NAME_CANDIDATE
NOVT,0001076930,NOVANTA INC,Nasdaq,04c1ce329851c84ac943c66dfe5f4b199d11645826c549986f6c80467f8c8792,UNIQUE_CIK_NAME_CANDIDATE
DARE,0001401914,"Dare Bioscience, Inc.",Nasdaq,04c25dbeae23e0c964d7405d41f8b79b363e3d9419d38d9c210ac21f6b2dc7c6,UNIQUE_CIK_NAME_CANDIDATE
APLM,0001944885,Apollomics Inc.,Nasdaq,04c98ca223ada9e0e8d8473edf484e2298e257d4abf53e280f68666c7b92ea85,UNIQUE_CIK_NAME_CANDIDATE
CHSCM,0000823277,CHS INC,Nasdaq,04e6dd3f2961bb5bcb1ecd8ce021f9ee82ee6861fc43556b4c02973e54eb4c7d,UNIQUE_CIK_NAME_CANDIDATE
SD,0001349436,SANDRIDGE ENERGY INC,NYSE,050370559ba7675a242ae3f11cd6a05935ecb46ae27b86ff7bf1713cc917707e,UNIQUE_CIK_NAME_CANDIDATE
COE,0001659494,51Talk Online Education Group,NYSE,0509d9a1fe916d7bb6501a33893b2b10c0580f90c84982bc8663775360f89241,UNIQUE_CIK_NAME_CANDIDATE
PI,0001114995,IMPINJ INC,Nasdaq,05342516153682a048f912347f5f97fd1180df97cb77db3bcd7d561752ce5a98,UNIQUE_CIK_NAME_CANDIDATE
FGNXP,0001591890,FG Nexus Inc.,Nasdaq,0537a90a1c81999762d5fe7fb1162953f08f2a8a1801b3b28e6bfba108ca0a0f,UNIQUE_CIK_NAME_CANDIDATE
LFTO,0001850351,"Liftoff Mobile, Inc.",Nasdaq,05403e5dd09f076fdcad95aa09da647b73f2a57f826325b433a77ad77359d605,UNIQUE_CIK_NAME_CANDIDATE
GRO,0001472326,Brazil Potash Corp.,NYSE,054c17dbc91f4bb9316a78970f048396091b1b11695785c6c3bf72437bbf0365,UNIQUE_CIK_NAME_CANDIDATE
KYIVW,0002062440,Kyivstar Group Ltd.,Nasdaq,05587e79ed9fdd3624ccabd25cef86548d7a66369065411a47c2cfebdb7d3983,UNIQUE_CIK_NAME_CANDIDATE
CYCU,0001868419,"Cycurion, Inc.",Nasdaq,05589dca1cbce628dcb01180b4aca11b8a23881ceff4cd58e208752caab341f3,UNIQUE_CIK_NAME_CANDIDATE
PFS,0001178970,PROVIDENT FINANCIAL SERVICES INC,NYSE,05591cc521cfa34e19cff3ff4a03ce55f932d7abd7d746b0d476761c7f402e94,UNIQUE_CIK_NAME_CANDIDATE
AGCC,0002060016,Agencia Comercial Spirits Ltd.,Nasdaq,056a581edc4ef1cf3d23ee9162899d7c11cbe24cb8a1782c0576cb97e83b5226,UNIQUE_CIK_NAME_CANDIDATE
GRRRW,0001903145,Gorilla Technology Group Inc.,Nasdaq,056ef872a33218da356a088a6e712749f3d668ec716c73fdb95b9c79692a0761,UNIQUE_CIK_NAME_CANDIDATE
CBNK,0001419536,Capital Bancorp Inc,Nasdaq,05793aab2d20c8d6c74b8f2122504999f9bbd3bfa556e7ff52d0c19252bd66de,UNIQUE_CIK_NAME_CANDIDATE
HCM,0001648257,HUTCHMED (China) Ltd,Nasdaq,0581e7db691621c5b13959089a3b4873a224b77064cd73252af0a0473275dbca,UNIQUE_CIK_NAME_CANDIDATE
YRD,0001631761,Yiren Digital Ltd.,NYSE,0585ecf93ac12e3164fc060b6230f82b46bee2ae45cf68b4b073442392c452b6,UNIQUE_CIK_NAME_CANDIDATE
PMA,0001956166,Ming Shing Group Holdings Ltd,Nasdaq,058a36266fa3be246be6b2f9448b33e7802561bd4065c8f1545909c9f6709e20,UNIQUE_CIK_NAME_CANDIDATE
IIIN,0000764401,INSTEEL INDUSTRIES INC,NYSE,058cba5fb508de7c465995ae6eeb8dbaf20e5ea7ea3c59088c2ab75623adfdec,UNIQUE_CIK_NAME_CANDIDATE
ORGO,0001661181,Organogenesis Holdings Inc.,Nasdaq,05b3ed50ba8b60dde6d01fc23475a1825032e1730082133486f5a3bb161d851d,UNIQUE_CIK_NAME_CANDIDATE
CMP,0001227654,COMPASS MINERALS INTERNATIONAL INC,NYSE,05b9252f7a725d346336af17877515f3da887b37a420b82d94eab78db5451062,UNIQUE_CIK_NAME_CANDIDATE
PLTS,0002053033,Platinum Analytics Cayman Ltd,Nasdaq,05e1a591165682aaa22d26a9f6e698f8deb5c43631b6d68f048a393061680bed,UNIQUE_CIK_NAME_CANDIDATE
