ticker,cik,company,mapped_security_intervals,observed_security_quarters,interval_quarters,interval_coverage,status
COO,0000711404,Cooper Companies (The),2,63,63,1.0,MAPPED
COP,0001163165,ConocoPhillips,1,79,79,1.0,MAPPED
COR,0001140859,Cencora,1,78,78,1.0,MAPPED
COST,0000909832,Costco,1,78,78,1.0,MAPPED
CPAY,0001175454,Corpay,2,57,57,1.0,MAPPED
CPRT,0000900075,Copart,1,68,68,1.0,MAPPED
CPT,0000906345,Camden Property Trust,1,72,78,0.923077,MAPPED
CRH,0000849395,CRH plc,2,65,71,0.915493,MAPPED
CRL,0001100682,Charles River Laboratories,1,60,69,0.869565,MAPPED
CRM,0001108524,Salesforce,1,76,78,0.974359,MAPPED
CSCO,0000858877,Cisco,1,80,157,0.509554,MAPPED
CSGP,0001057352,CoStar Group,1,63,70,0.9,MAPPED
CSX,0000277948,CSX Corporation,1,79,79,1.0,MAPPED
CTAS,0000723254,Cintas,1,78,78,1.0,MAPPED
CTSH,0001058290,Cognizant,1,66,66,1.0,MAPPED
CVS,0000064803,CVS Health,1,80,157,0.509554,MAPPED
CVX,0000093410,Chevron Corporation,1,80,157,0.509554,MAPPED
D,0000715957,Dominion Energy,1,78,157,0.496815,MAPPED
DAL,0000027904,Delta Air Lines,1,65,65,1.0,MAPPED
DD,0001666700,DuPont,3,55,79,0.696203,MAPPED
DE,0000315189,Deere & Company,1,78,78,1.0,MAPPED
DECK,0000910521,Deckers Brands,1,75,78,0.961538,MAPPED
DG,0000029534,Dollar General,1,66,66,1.0,MAPPED
DGX,0001022079,Quest Diagnostics,1,78,78,1.0,MAPPED
DHI,0000882184,D. R. Horton,1,69,69,1.0,MAPPED
DHR,0000313616,Danaher Corporation,1,79,79,1.0,MAPPED
DIS,0001744489,Walt Disney Company (The),1,79,157,0.503185,MAPPED
DLR,0001297996,Digital Realty,1,79,86,0.918605,MAPPED
DLTR,0000935703,Dollar Tree,1,73,73,1.0,MAPPED
DOC,0000765880,Healthpeak Properties,2,72,75,0.96,MAPPED
DOV,0000029905,Dover Corporation,1,79,79,1.0,MAPPED
DPZ,0001286681,Domino's,1,59,59,1.0,MAPPED
DRI,0000940944,Darden Restaurants,1,78,78,1.0,MAPPED
DTE,0000936340,DTE Energy,1,79,79,1.0,MAPPED
DUK,0001326160,Duke Energy,2,78,157,0.496815,MAPPED
DVA,0000927066,DaVita,1,78,78,1.0,MAPPED
DVN,0001090012,Devon Energy,1,79,79,1.0,MAPPED
DXCM,0001093557,Dexcom,1,62,63,0.984127,MAPPED
EA,0000712515,Electronic Arts,1,79,79,1.0,MAPPED
EBAY,0001065088,eBay Inc.,1,78,78,1.0,MAPPED
ECHO,0001415404,EchoStar,1,69,69,1.0,MAPPED
ECL,0000031462,Ecolab,1,78,78,1.0,MAPPED
ED,0001047862,Consolidated Edison,1,71,157,0.452229,MAPPED
EFX,0000033185,Equifax,1,78,78,1.0,MAPPED
EG,0001095073,Everest Group,1,69,69,1.0,MAPPED
EIX,0000827052,Edison International,1,79,79,1.0,MAPPED
EL,0001001250,Estée Lauder Companies (The),1,78,78,1.0,MAPPED
ELV,0001156039,Elevance Health,2,78,78,1.0,MAPPED
EME,0000105634,Emcor,1,73,73,1.0,MAPPED
EMR,0000032604,Emerson Electric,1,78,78,1.0,MAPPED
EOG,0000821189,EOG Resources,1,78,78,1.0,MAPPED
EQIX,0001101239,Equinix,2,64,66,0.969697,MAPPED
EQR,0000906107,Equity Residential,1,93,97,0.958763,MAPPED
EQT,0000033213,EQT Corporation,1,69,69,1.0,MAPPED
ERIE,0000922621,Erie Indemnity,1,63,63,1.0,MAPPED
ES,0000072741,Eversource Energy,2,69,69,1.0,MAPPED
ESS,0000920522,Essex Property Trust,1,68,90,0.755556,MAPPED
ETN,0001551182,Eaton Corporation,2,75,78,0.961538,MAPPED
ETR,0000065984,Entergy,1,78,78,1.0,MAPPED
EVRG,0001711269,Evergy,1,33,41,0.804878,MAPPED
EW,0001099800,Edwards Lifesciences,1,69,69,1.0,MAPPED
EXC,0001109357,Exelon,1,79,79,1.0,MAPPED
EXPD,0000746515,Expeditors International,1,57,57,1.0,MAPPED
EXPE,0001324424,Expedia Group,2,67,69,0.971014,MAPPED
EXR,0001289490,Extra Space Storage,1,77,87,0.885057,MAPPED
F,0000037996,Ford Motor Company,1,69,69,1.0,MAPPED
FAST,0000815556,Fastenal,1,78,78,1.0,MAPPED
FCX,0000831259,Freeport-McMoRan,1,77,157,0.490446,MAPPED
FDS,0001013237,FactSet,1,64,70,0.914286,MAPPED
FDX,0001048911,FedEx,1,73,79,0.924051,MAPPED
FE,0001031296,FirstEnergy,1,78,78,1.0,MAPPED
FFIV,0001048695,"F5, Inc.",1,69,69,1.0,MAPPED
FICO,0000814547,Fair Isaac,1,69,69,1.0,MAPPED
FIS,0001136893,Fidelity National Information Services,1,71,76,0.934211,MAPPED
FISV,0000798354,Fiserv,1,78,78,1.0,MAPPED
FITB,0000035527,Fifth Third Bancorp,1,69,69,1.0,MAPPED
FIX,0001035983,Comfort Systems USA,1,57,57,1.0,MAPPED
FLEX,0000866374,Flex Ltd.,1,69,69,1.0,MAPPED
FRT,0000034903,Federal Realty Investment Trust,2,82,96,0.854167,MAPPED
FSLR,0001274494,First Solar,1,74,74,1.0,MAPPED
FTNT,0001262039,Fortinet,1,59,61,0.967213,MAPPED
GD,0000040533,General Dynamics,1,76,78,0.974359,MAPPED
GE,0000040545,GE Aerospace,2,78,78,1.0,MAPPED
GEN,0000849399,Gen Digital,2,75,77,0.974026,MAPPED
GILD,0000882095,Gilead Sciences,1,80,157,0.509554,MAPPED
GIS,0000040704,General Mills,1,78,78,1.0,MAPPED
GL,0000320335,Globe Life,2,73,73,1.0,MAPPED
GLW,0000024741,Corning Inc.,1,78,78,1.0,MAPPED
GM,0001467858,General Motors,2,73,78,0.935897,MAPPED
GNRC,0001474735,Generac,1,55,56,0.982143,MAPPED
GOOG,0001652044,Alphabet Inc. (Class C),1,52,157,0.33121,MAPPED
GOOGL,0001652044,Alphabet Inc. (Class A),1,52,157,0.33121,MAPPED
GPC,0000040987,Genuine Parts Company,1,78,78,1.0,MAPPED
GPN,0001123360,Global Payments,1,65,69,0.942029,MAPPED
GRMN,0001121788,Garmin,2,69,69,1.0,MAPPED
GS,0000886982,Goldman Sachs,1,79,79,1.0,MAPPED
GWW,0000277135,W. W. Grainger,1,78,78,1.0,MAPPED
HAL,0000045012,Halliburton,1,79,79,1.0,MAPPED
HAS,0000046080,Hasbro,1,78,78,1.0,MAPPED
HBAN,0000049196,Huntington Bancshares,1,70,79,0.886076,MAPPED
HCA,0000860730,HCA Healthcare,1,62,79,0.78481,MAPPED
HD,0000354950,Home Depot (The),1,80,157,0.509554,MAPPED
HIG,0000874766,Hartford (The),1,55,55,1.0,MAPPED
HII,0001501585,Huntington Ingalls Industries,1,59,59,1.0,MAPPED
HON,0000773840,Honeywell Technologies,1,80,157,0.509554,MAPPED
HPQ,0000047217,HP Inc.,2,79,79,1.0,MAPPED
HRL,0000048465,Hormel Foods,1,70,70,1.0,MAPPED
HSIC,0001000228,Henry Schein,1,73,73,1.0,MAPPED
HST,0001070750,Host Hotels & Resorts,1,94,97,0.969072,MAPPED
HSY,0000047111,Hershey Company (The),1,78,78,1.0,MAPPED
HUM,0000049071,Humana,1,77,77,1.0,MAPPED
IBKR,0001381197,Interactive Brokers,1,60,60,1.0,MAPPED
IBM,0000051143,IBM,1,78,78,1.0,MAPPED
ICE,0001571949,Intercontinental Exchange,2,62,79,0.78481,MAPPED
IDXX,0000874716,Idexx Laboratories,1,67,157,0.426752,MAPPED
IEX,0000832101,IDEX Corporation,1,69,69,1.0,MAPPED
IFF,0000051253,International Flavors & Fragrances,1,56,56,1.0,MAPPED
INCY,0000879169,Incyte,1,63,64,0.984375,MAPPED
INTC,0000050863,Intel,1,80,157,0.509554,MAPPED
INTU,0000896878,Intuit,1,79,79,1.0,MAPPED
IP,0000051434,International Paper,1,78,78,1.0,MAPPED
IRM,0001020569,Iron Mountain,2,66,66,1.0,MAPPED
ISRG,0001035267,Intuitive Surgical,1,75,79,0.949367,MAPPED
IT,0000749251,Gartner,1,62,69,0.898551,MAPPED
ITW,0000049826,Illinois Tool Works,1,71,76,0.934211,MAPPED
IVZ,0000914208,Invesco,1,71,73,0.972603,MAPPED
J,0000052988,Jacobs Solutions,2,72,77,0.935065,MAPPED
JBHT,0000728535,J.B. Hunt,1,70,70,1.0,MAPPED
JBL,0000898293,Jabil,1,76,78,0.974359,MAPPED
JCI,0000833444,Johnson Controls,5,75,78,0.961538,MAPPED
JKHY,0000779152,Jack Henry & Associates,1,65,75,0.866667,MAPPED
JNJ,0000200406,Johnson & Johnson,1,80,157,0.509554,MAPPED
JPM,0000019617,JPMorgan Chase,1,80,157,0.509554,MAPPED
KDP,0001418135,Keurig Dr Pepper,2,69,69,1.0,MAPPED
KEY,0000091576,KeyCorp,1,79,79,1.0,MAPPED
KIM,0000879101,Kimco Realty,1,97,97,1.0,MAPPED
KKR,0001404912,KKR & Co.,6,8,27,0.296296,MAPPED
KLAC,0000319201,KLA Corporation,1,78,78,1.0,MAPPED
KMB,0000055785,Kimberly-Clark,1,70,70,1.0,MAPPED
KMI,0001506307,Kinder Morgan,1,70,78,0.897436,MAPPED
KO,0000021344,Coca-Cola Company (The),1,80,157,0.509554,MAPPED
KR,0000056873,Kroger,1,79,79,1.0,MAPPED
L,0000060086,Loews Corporation,1,78,78,1.0,MAPPED
LDOS,0001336920,Leidos,2,65,65,1.0,MAPPED
LEN,0000920760,Lennar,1,78,78,1.0,MAPPED
LH,0000920148,Labcorp,2,71,73,0.972603,MAPPED
LHX,0000202058,L3Harris,2,78,78,1.0,MAPPED
LII,0001069202,Lennox International,1,64,76,0.842105,MAPPED
LIN,0001707925,Linde plc,3,28,65,0.430769,MAPPED
LLY,0000059478,Lilly (Eli),1,80,157,0.509554,MAPPED
LMT,0000936468,Lockheed Martin,1,80,157,0.509554,MAPPED
LNT,0000352541,Alliant Energy,1,78,79,0.987342,MAPPED
LOW,0000060667,Lowe's,1,79,157,0.503185,MAPPED
LRCX,0000707549,Lam Research,2,78,78,1.0,MAPPED
LULU,0001397187,Lululemon Athletica,1,65,65,1.0,MAPPED
LUV,0000092380,Southwest Airlines,1,78,78,1.0,MAPPED
LVS,0001300514,Las Vegas Sands,1,78,79,0.987342,MAPPED
LYB,0001489393,LyondellBasell,0,0,0,0.0,UNMAPPED_TARGET
LYV,0001335258,Live Nation Entertainment,1,60,64,0.9375,MAPPED
MA,0001141391,Mastercard,1,77,79,0.974684,MAPPED
MAA,0000912595,Mid-America Apartment Communities,1,1,1,1.0,MAPPED
MAR,0001048286,Marriott International,1,79,79,1.0,MAPPED
MAS,0000062996,Masco,1,78,78,1.0,MAPPED
MCD,0000063908,McDonald's,1,80,157,0.509554,MAPPED
MCHP,0000827054,Microchip Technology,1,77,78,0.987179,MAPPED
MCK,0000927653,McKesson Corporation,1,78,78,1.0,MAPPED
MCO,0001059556,Moody's Corporation,2,79,79,1.0,MAPPED
MDLZ,0001103982,Mondelez International,2,70,79,0.886076,MAPPED
MDT,0001613103,Medtronic,2,72,78,0.923077,MAPPED
MET,0001099219,MetLife,1,79,79,1.0,MAPPED
META,0001326801,Meta Platforms,1,61,157,0.388535,MAPPED
MGM,0000789570,MGM Resorts,1,79,79,1.0,MAPPED
MKC,0000063754,McCormick & Company,1,78,78,1.0,MAPPED
MLM,0000916076,Martin Marietta Materials,1,69,69,1.0,MAPPED
MMM,0000066740,3M,1,80,157,0.509554,MAPPED
MNST,0000865752,Monster Beverage,3,67,79,0.848101,MAPPED
MO,0000764180,Altria,1,80,157,0.509554,MAPPED
MOS,0001285785,Mosaic Company (The),1,61,79,0.772152,MAPPED
MPC,0001510295,Marathon Petroleum,1,60,60,1.0,MAPPED
MPWR,0001280452,Monolithic Power Systems,1,62,62,1.0,MAPPED
MRK,0000310158,Merck & Co.,3,80,157,0.509554,MAPPED
MRSH,0000062709,Marsh McLennan,1,78,78,1.0,MAPPED
MRVL,0001835632,Marvell Technology,1,52,52,1.0,MAPPED
MS,0000895421,Morgan Stanley,1,78,78,1.0,MAPPED
MSCI,0001408198,MSCI Inc.,1,62,62,1.0,MAPPED
MSFT,0000789019,Microsoft,1,80,157,0.509554,MAPPED
MSI,0000068505,Motorola Solutions,2,78,78,1.0,MAPPED
MTB,0000036270,M&T Bank,1,78,78,1.0,MAPPED
MTD,0001037646,Mettler Toledo,1,73,78,0.935897,MAPPED
MU,0000723125,Micron Technology,1,70,79,0.886076,MAPPED
NDAQ,0001120193,"Nasdaq, Inc.",1,73,73,1.0,MAPPED
NDSN,0000072331,Nordson Corporation,1,73,78,0.935897,MAPPED
NEE,0000753308,NextEra Energy,2,79,79,1.0,MAPPED
NEM,0001164727,Newmont,1,78,78,1.0,MAPPED
NFLX,0001065280,Netflix,1,76,79,0.962025,MAPPED
NI,0001111711,NiSource,1,79,79,1.0,MAPPED
NKE,0000320187,"Nike, Inc.",1,80,157,0.509554,MAPPED
NOC,0001133421,Northrop Grumman,1,79,79,1.0,MAPPED
NRG,0001013871,NRG Energy,1,74,74,1.0,MAPPED
NSC,0000702165,Norfolk Southern,1,79,79,1.0,MAPPED
NTAP,0001002047,NetApp,1,73,73,1.0,MAPPED
NTRS,0000073124,Northern Trust,1,78,78,1.0,MAPPED
NUE,0000073309,Nucor,1,79,79,1.0,MAPPED
NVDA,0001045810,Nvidia,1,79,157,0.503185,MAPPED
NVR,0000906163,"NVR, Inc.",1,71,78,0.910256,MAPPED
NXPI,0001413447,NXP Semiconductors,1,59,65,0.907692,MAPPED
O,0000726728,Realty Income,1,69,69,1.0,MAPPED
ODFL,0000878927,Old Dominion,1,65,78,0.833333,MAPPED
OKE,0001039684,Oneok,1,73,75,0.973333,MAPPED
OMC,0000029989,Omnicom Group,1,78,78,1.0,MAPPED
ON,0001097864,ON Semiconductor,1,69,69,1.0,MAPPED
ORCL,0001341439,Oracle Corporation,1,79,79,1.0,MAPPED
ORLY,0000898173,O’Reilly Automotive,1,62,62,1.0,MAPPED
OXY,0000797468,Occidental Petroleum,1,72,73,0.986301,MAPPED
PAYX,0000723531,Paychex,1,78,78,1.0,MAPPED
PCAR,0000075362,Paccar,1,78,78,1.0,MAPPED
PCG,0001004980,PG&E Corporation,1,78,78,1.0,MAPPED
PEG,0000788784,Public Service Enterprise Group,1,62,62,1.0,MAPPED
PEP,0000077476,PepsiCo,1,80,157,0.509554,MAPPED
PFE,0000078003,Pfizer,1,80,157,0.509554,MAPPED
PFG,0001126328,Principal Financial Group,1,69,69,1.0,MAPPED
PG,0000080424,Procter & Gamble,1,78,78,1.0,MAPPED
PGR,0000080661,Progressive Corporation,1,78,78,1.0,MAPPED
PH,0000076334,Parker Hannifin,1,78,78,1.0,MAPPED
PHM,0000822416,PulteGroup,1,77,78,0.987179,MAPPED
PKG,0000075677,Packaging Corporation of America,1,70,73,0.958904,MAPPED
PLD,0001045609,Prologis,3,93,94,0.989362,MAPPED
PM,0001413329,Philip Morris International,1,74,157,0.471338,MAPPED
PNC,0000713676,PNC Financial Services,1,75,78,0.961538,MAPPED
PNR,0000077360,Pentair,3,63,68,0.926471,MAPPED
PNW,0000764622,Pinnacle West Capital,1,69,69,1.0,MAPPED
PODD,0001145197,Insulet Corporation,1,57,57,1.0,MAPPED
PPG,0000079879,PPG Industries,1,69,69,1.0,MAPPED
PPL,0000922224,PPL Corporation,1,79,79,1.0,MAPPED
PRU,0001137774,Prudential Financial,1,77,78,0.987179,MAPPED
PSA,0001393311,Public Storage,1,91,97,0.938144,MAPPED
PSKY,0002041610,Paramount Skydance Corporation,1,3,3,1.0,MAPPED
PTC,0000857005,PTC Inc.,2,71,73,0.972603,MAPPED
PWR,0001050915,Quanta Services,1,70,70,1.0,MAPPED
QCOM,0000804328,Qualcomm,1,78,78,1.0,MAPPED
RCL,0000884887,Royal Caribbean Group,1,69,69,1.0,MAPPED
REG,0000910606,Regency Centers,1,78,78,1.0,MAPPED
REGN,0000872589,Regeneron Pharmaceuticals,1,61,68,0.897059,MAPPED
RF,0001281761,Regions Financial Corporation,1,76,78,0.974359,MAPPED
RJF,0000720005,Raymond James Financial,1,69,69,1.0,MAPPED
RL,0001037038,Ralph Lauren Corporation,1,65,78,0.833333,MAPPED
RMD,0000943819,ResMed,1,67,69,0.971014,MAPPED
ROK,0001024478,Rockwell Automation,1,69,69,1.0,MAPPED
ROL,0000084839,"Rollins, Inc.",1,63,69,0.913043,MAPPED
ROP,0000882835,Roper Technologies,1,78,78,1.0,MAPPED
ROST,0000745732,Ross Stores,1,79,79,1.0,MAPPED
RSG,0001060391,Republic Services,1,69,69,1.0,MAPPED
RTX,0000101829,RTX Corporation,2,79,79,1.0,MAPPED
RVTY,0000031791,Revvity,1,69,69,1.0,MAPPED
SBAC,0001034054,SBA Communications,2,69,69,1.0,MAPPED
SBUX,0000829224,Starbucks,1,78,78,1.0,MAPPED
SCHW,0000316709,Charles Schwab Corporation,1,79,79,1.0,MAPPED
SHW,0000089800,Sherwin-Williams,1,78,78,1.0,MAPPED
SJM,0000091419,J.M. Smucker Company (The),1,69,69,1.0,MAPPED
SLB,0000087347,Schlumberger,1,72,79,0.911392,MAPPED
SMCI,0001375365,Supermicro,1,57,57,1.0,MAPPED
SNA,0000091440,Snap-on,1,70,72,0.972222,MAPPED
SNPS,0000883241,Synopsys,1,68,69,0.985507,MAPPED
SO,0000092122,Southern Company,1,79,79,1.0,MAPPED
SPG,0001063761,Simon Property Group,1,82,97,0.845361,MAPPED
SPGI,0000064040,S&P Global,2,79,79,1.0,MAPPED
SRE,0001032208,Sempra,1,78,78,1.0,MAPPED
STE,0001757898,Steris,3,72,72,1.0,MAPPED
STLD,0001022671,Steel Dynamics,1,76,78,0.974359,MAPPED
STT,0000093751,State Street Corporation,1,78,78,1.0,MAPPED
STX,0001137789,Seagate Technology,2,64,64,1.0,MAPPED
STZ,0000016918,Constellation Brands,1,70,79,0.886076,MAPPED
SW,0002005951,Smurfit Westrock,1,7,7,1.0,MAPPED
SWK,0000093556,Stanley Black & Decker,2,72,79,0.911392,MAPPED
SWKS,0000004127,Skyworks Solutions,1,67,69,0.971014,MAPPED
SYK,0000310764,Stryker Corporation,1,79,79,1.0,MAPPED
SYY,0000096021,Sysco,1,78,78,1.0,MAPPED
T,0000732717,AT&T,1,80,157,0.509554,MAPPED
TAP,0000024545,Molson Coors Beverage Company,1,72,74,0.972973,MAPPED
TDG,0001260221,TransDigm Group,1,62,64,0.96875,MAPPED
TDY,0001094285,Teledyne Technologies,1,77,78,0.987179,MAPPED
TECH,0000842023,Bio-Techne,2,49,49,1.0,MAPPED
TEL,0001385157,TE Connectivity,2,61,61,1.0,MAPPED
TER,0000097210,Teradyne,1,77,78,0.987179,MAPPED
TFC,0000092230,Truist Financial,2,72,72,1.0,MAPPED
TGT,0000027419,Target Corporation,1,79,157,0.503185,MAPPED
TJX,0000109198,TJX Companies,1,78,78,1.0,MAPPED
TKO,0001973266,TKO Group Holdings,1,11,11,1.0,MAPPED
TMO,0000097745,Thermo Fisher Scientific,1,72,79,0.911392,MAPPED
TMUS,0001283699,T-Mobile US,2,67,79,0.848101,MAPPED
TPL,0001811074,Texas Pacific Land Corporation,1,22,22,1.0,MAPPED
TPR,0001116132,"Tapestry, Inc.",2,75,78,0.961538,MAPPED
TRGP,0001389170,Targa Resources,1,57,57,1.0,MAPPED
TRMB,0000864749,Trimble Inc.,1,57,65,0.876923,MAPPED
TROW,0001113169,T. Rowe Price,1,69,69,1.0,MAPPED
TRV,0000086312,Travelers Companies (The),1,30,31,0.967742,MAPPED
TSCO,0000916365,Tractor Supply,1,68,70,0.971429,MAPPED
TSLA,0001318605,"Tesla, Inc.",1,62,157,0.394904,MAPPED
TSN,0000100493,Tyson Foods,1,79,79,1.0,MAPPED
TT,0001466258,Trane Technologies,3,70,157,0.44586,MAPPED
TTWO,0000946581,Take-Two Interactive,1,54,62,0.870968,MAPPED
TXN,0000097476,Texas Instruments,1,76,78,0.974359,MAPPED
TXT,0000217346,Textron,1,77,78,0.987179,MAPPED
TYL,0000860731,Tyler Technologies,1,62,62,1.0,MAPPED
UAL,0000100517,United Airlines Holdings,3,68,69,0.985507,MAPPED
UDR,0000074208,"UDR, Inc.",2,88,91,0.967033,MAPPED
UHS,0000352915,Universal Health Services,1,71,72,0.986111,MAPPED
ULTA,0001403568,Ulta Beauty,1,36,36,1.0,MAPPED
UNH,0000731766,UnitedHealth Group,1,77,79,0.974684,MAPPED
UNP,0000100885,Union Pacific Corporation,1,78,78,1.0,MAPPED
UPS,0001090727,United Parcel Service,1,71,157,0.452229,MAPPED
URI,0001067701,United Rentals,1,68,79,0.860759,MAPPED
USB,0000036104,U.S. Bancorp,1,79,79,1.0,MAPPED
V,0001403161,Visa Inc.,1,74,157,0.471338,MAPPED
VLO,0001035002,Valero Energy,1,78,78,1.0,MAPPED
VMC,0001396009,Vulcan Materials Company,1,79,79,1.0,MAPPED
VRSK,0001442145,Verisk Analytics,1,65,66,0.984848,MAPPED
VRSN,0001014473,Verisign,1,78,78,1.0,MAPPED
VRTX,0000875320,Vertex Pharmaceuticals,1,64,65,0.984615,MAPPED
VTR,0000740260,Ventas,1,84,89,0.94382,MAPPED
VTRS,0001792044,Viatris,2,33,65,0.507692,MAPPED
