atomicTransactionId,reviewHash,issuerCik,ticker,accessionNumber,transactionCode,economicClass,economicGroup,sourceSha256,reviewDecision,reviewNotes,reviewerId,reviewedAtUtc,reviewMethod
a2e3c3e82c9a46a0c008d4efdf76156df85c6869c729ac2d69854f2f816e7652,03583907dbce647fb92bea391692ca31c9bf687ddead7f707dc65b6bae48f44b,0000002969,APD,0001225208-23-007161,A,RULE16B3_GRANT_AWARD_OR_ACQUISITION,COMPENSATION,6f1fa2385870488d9c800d0ede82010af7cf5d66a2e90b773db59fee6e94441c,VALID,,codex-gpt-5.6-source-audit,2026-07-23T08:23:37.343727+00:00,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
f09dbf3ec1c406daee401aabf87bb493ae43bcc8012b77686e80861a804eb4e8,05ed8cccb80e4bd47cb69313c09a45a07580f60227e1f97ac690ae3ad3082ab0,0000002969,APD,0001225208-25-009611,A,RULE16B3_GRANT_AWARD_OR_ACQUISITION,COMPENSATION,19e38cad6e9f4d36abfa5e485b107bc59ffc3607bc49ffe9d97adaa0f4fc1481,VALID,,codex-gpt-5.6-source-audit,2026-07-23T08:23:37.343727+00:00,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
3f83face5b699369453ac0c86f0bad1a86c641f6148abeb17c5ce7eee88f87e6,11ea1f776e700251a33e216630a43332a9ac640dc4bc1b87bd57d0ffb9e7dce2,0000002969,APD,0001225208-24-000034,A,RULE16B3_GRANT_AWARD_OR_ACQUISITION,COMPENSATION,5d3247ef20b4a8587f02e54888a1c52d7967e2001f444099b441d61f07627556,VALID,,codex-gpt-5.6-source-audit,2026-07-23T08:23:37.343727+00:00,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
81f9618f5e51ac47071d469c3a1f946a122db16920f221349f87b81797bed06c,1be1b0f77508d78defd3259d6081c5e76c18192704bef2d0aac5ffb6913b8691,0000002969,APD,0001225208-23-009099,A,RULE16B3_GRANT_AWARD_OR_ACQUISITION,COMPENSATION,98cd32df9aea49220ca05a054142edc706582fb2b13eebb6ed896ea44557659d,VALID,,codex-gpt-5.6-source-audit,2026-07-23T08:23:37.343727+00:00,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
f1c636f34bb1b9f0d080245e977509cbfbbacb01c7282bdd5450fb1a81dd6be5,293f695432086ac3faed97909b151929163fbf9fa073354c52ca98d7a796badf,0000002969,APD,0001225208-13-020700,A,RULE16B3_GRANT_AWARD_OR_ACQUISITION,COMPENSATION,1c8e957184f738627608ff4d84a47e061e77c70cbeee02c598cd9a48781927b2,VALID,,codex-gpt-5.6-source-audit,2026-07-23T08:23:37.343727+00:00,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
6bd8d671041ba6b591bb753793302a533b6025b4b9a34cf330cc08365acc14cb,00885d8b9b9e1fee01c27a64eda04f9501a1c646a1f4af2adac7fd18859e37a0,0000012927,BA,0001225208-16-028601,F,TAX_OR_EXERCISE_WITHHOLDING,TAX_OR_EXERCISE_WITHHOLDING,3dc6b92929a4eaec807f141e4bd871788bc423fac882e2b7d830da7ffdb82ad6,VALID,,codex-gpt-5.6-source-audit,2026-07-23T08:23:37.343727+00:00,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
52f2d1fa38e45406cae940462b1b640dccac20392dc6b7474be91385d8ed9861,0114d30d93b280b2e1a739e49f4382fd52266855ae5bf3baeb550ad4e36efa28,0000012927,BA,0001225208-17-007680,A,RULE16B3_GRANT_AWARD_OR_ACQUISITION,COMPENSATION,dd604c79d8dc2084a85458a5a008e5afbf9d2f84f5a9d1830da6aab23b86bbdb,VALID,,codex-gpt-5.6-source-audit,2026-07-23T08:23:37.343727+00:00,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
312b0753f37dab80df53f535e66cb02b1eee7488782d4b4473ef709ffeaeab86,0274b404b80eac853cd76af5181e7997b8c2ee74f6c30d698e50e78f469fe43a,0000012927,BA,0001225208-20-003592,A,RULE16B3_GRANT_AWARD_OR_ACQUISITION,COMPENSATION,641564639da11f39aa56f198cf058415dc6642f591447cef23e2fb3d25b6aee9,VALID,,codex-gpt-5.6-source-audit,2026-07-23T08:23:37.343727+00:00,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
3018dad1ca41e15a08b369e2f8aed95565c4ce0eefd32b4d1c5cd95c6e2eea3b,08c1f0cc6e9eb69f51c62adcda42c14b6daf63a0e8c271a03a56cd25c8881c75,0000012927,BA,0001225208-19-003801,A,RULE16B3_GRANT_AWARD_OR_ACQUISITION,COMPENSATION,31c7a09ba745c966f7e026029db6a9eb63f86d3f5c13f7215adb8e421fc1b7e9,VALID,,codex-gpt-5.6-source-audit,2026-07-23T08:23:37.343727+00:00,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
38a2d759eb333101f6ed0241e2e044b08c19627a22c2bb174159ea971981c000,0c32bab0693c45b3619ca816da5f5f883bf54e50f443d8d848454ed871d620fc,0000012927,BA,0001225208-19-003801,F,TAX_OR_EXERCISE_WITHHOLDING,TAX_OR_EXERCISE_WITHHOLDING,31c7a09ba745c966f7e026029db6a9eb63f86d3f5c13f7215adb8e421fc1b7e9,VALID,,codex-gpt-5.6-source-audit,2026-07-23T08:23:37.343727+00:00,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
