ticker,episode_id,signal_date,target_label
A,A-V61-001,2016-06-21,REENTRY_WORTHWHILE
A,A-V61-002,2017-03-10,HOLD_WINNER
A,A-V61-003,2019-03-01,REENTRY_WORTHWHILE
A,A-V61-004,2020-08-07,HOLD_WINNER
A,A-V61-005,2020-10-07,HOLD_WINNER
A,A-V61-006,2021-04-09,HOLD_WINNER
ABT,ABT-V61-001,2017-06-29,HOLD_WINNER
ABT,ABT-V61-002,2017-09-28,HOLD_WINNER
ABT,ABT-V61-003,2018-09-12,HOLD_WINNER
ABT,ABT-V61-004,2019-03-04,REENTRY_WORTHWHILE
ABT,ABT-V61-005,2019-07-08,REENTRY_WORTHWHILE
ABT,ABT-V61-006,2020-10-15,HOLD_WINNER
ABT,ABT-V61-007,2021-02-23,REENTRY_WORTHWHILE
ACGL,ACGL-V61-001,2016-12-15,HOLD_WINNER
ACGL,ACGL-V61-002,2019-07-05,HOLD_WINNER
ACGL,ACGL-V61-003,2019-09-04,HOLD_WINNER
ACGL,ACGL-V61-005,2022-11-29,HOLD_WINNER
ACGL,ACGL-V61-006,2023-07-03,HOLD_WINNER
ACGL,ACGL-V61-007,2023-10-31,REENTRY_WORTHWHILE
ACGL,ACGL-V61-008,2024-03-18,HOLD_WINNER
ACGL,ACGL-V61-009,2024-05-16,HOLD_WINNER
ACGL,ACGL-V61-010,2024-09-17,REENTRY_WORTHWHILE
ACN,ACN-V61-001,2017-10-31,HOLD_WINNER
ACN,ACN-V61-002,2018-09-26,REENTRY_WORTHWHILE
ACN,ACN-V61-003,2019-07-10,REENTRY_WORTHWHILE
ACN,ACN-V61-004,2020-01-02,REENTRY_WORTHWHILE
ACN,ACN-V61-005,2020-08-04,REENTRY_WORTHWHILE
ACN,ACN-V61-006,2020-12-11,HOLD_WINNER
ACN,ACN-V61-007,2021-04-14,HOLD_WINNER
ACN,ACN-V61-008,2021-07-14,HOLD_WINNER
ADBE,ADBE-V61-001,2017-04-05,HOLD_WINNER
ADBE,ADBE-V61-002,2017-08-04,HOLD_WINNER
ADBE,ADBE-V61-003,2017-11-09,REENTRY_WORTHWHILE
ADBE,ADBE-V61-004,2018-01-11,HOLD_WINNER
ADBE,ADBE-V61-005,2018-03-14,HOLD_WINNER
ADBE,ADBE-V61-006,2018-09-12,REENTRY_WORTHWHILE
ADBE,ADBE-V61-007,2021-07-22,REENTRY_WORTHWHILE
ADI,ADI-V61-002,2017-11-02,REENTRY_WORTHWHILE
ADI,ADI-V61-004,2019-05-06,REENTRY_WORTHWHILE
ADI,ADI-V61-005,2019-07-24,REENTRY_WORTHWHILE
ADI,ADI-V61-006,2020-12-09,HOLD_WINNER
ADI,ADI-V61-007,2021-04-13,REENTRY_WORTHWHILE
ADI,ADI-V61-008,2021-06-11,REENTRY_WORTHWHILE
ADI,ADI-V61-009,2021-11-09,REENTRY_WORTHWHILE
ADI,ADI-V61-010,2024-06-12,REENTRY_WORTHWHILE
