ticker,episode_id,signal_date,target_label,last_observed_session,FAST_SLOW_TREND_GAP,FAST_SLOW_TRANSITION_VELOCITY_4W
A,A-V61-001,2016-06-21,REENTRY_WORTHWHILE,2016-06-17,-1.301028905889448,-4.7704308686639365
A,A-V61-002,2017-03-10,HOLD_WINNER,2017-03-10,0.5470415809637892,-1.6342370978475311
A,A-V61-003,2019-03-01,REENTRY_WORTHWHILE,2019-03-01,2.1244800363885625,-3.960177967634019
A,A-V61-004,2020-08-07,HOLD_WINNER,2020-08-07,1.4815651669202707,0.6701585153967893
A,A-V61-005,2020-10-07,HOLD_WINNER,2020-10-02,-1.389895662731335,0.7481891027050989
A,A-V61-006,2021-04-09,HOLD_WINNER,2021-04-09,2.7994694734965537,8.66917620954887
ABT,ABT-V61-001,2017-06-29,HOLD_WINNER,2017-06-23,5.151745672780395,6.729278967113769
ABT,ABT-V61-002,2017-09-28,HOLD_WINNER,2017-09-22,2.069852366259326,5.03270692023823
ABT,ABT-V61-003,2018-09-12,HOLD_WINNER,2018-09-07,1.9055833889368654,1.2438682559016354
ABT,ABT-V61-004,2019-03-04,REENTRY_WORTHWHILE,2019-03-01,3.22402958010613,0.733836357611827
ABT,ABT-V61-005,2019-07-08,REENTRY_WORTHWHILE,2019-07-05,1.9181501578851803,0.6971084095837454
ABT,ABT-V61-006,2020-10-15,HOLD_WINNER,2020-10-09,0.14592904121504693,0.223719809166621
ABT,ABT-V61-007,2021-02-23,REENTRY_WORTHWHILE,2021-02-19,2.9917039742564877,1.3768450983257934
ACGL,ACGL-V61-001,2016-12-15,HOLD_WINNER,2016-12-09,2.4402718112528397,3.5615766818649113
ACGL,ACGL-V61-002,2019-07-05,HOLD_WINNER,2019-07-05,2.2759219687550853,2.2555721981037595
ACGL,ACGL-V61-003,2019-09-04,HOLD_WINNER,2019-08-30,-2.9013371413603406,-0.7038773717354583
ACGL,ACGL-V61-005,2022-11-29,HOLD_WINNER,2022-11-25,0.0025359330793643595,-7.517278657570683
ACGL,ACGL-V61-006,2023-07-03,HOLD_WINNER,2023-06-30,1.1004893261213793,6.733499668652874
ACGL,ACGL-V61-007,2023-10-31,REENTRY_WORTHWHILE,2023-10-27,0.0458514112651691,-1.6856076395760557
ACGL,ACGL-V61-008,2024-03-18,HOLD_WINNER,2024-03-15,2.5992443283081355,-1.0435909135213453
ACGL,ACGL-V61-009,2024-05-16,HOLD_WINNER,2024-05-10,3.1231690867549777,4.022083723608215
ACGL,ACGL-V61-010,2024-09-17,REENTRY_WORTHWHILE,2024-09-13,3.0662017742109415,0.623483347223563
ACN,ACN-V61-001,2017-10-31,HOLD_WINNER,2017-10-27,5.230415746621206,3.072667538259961
ACN,ACN-V61-002,2018-09-26,REENTRY_WORTHWHILE,2018-09-21,2.2165649857871728,1.062368042672741
ACN,ACN-V61-003,2019-07-10,REENTRY_WORTHWHILE,2019-07-05,-0.5254469073555242,-0.3460230090617277
ACN,ACN-V61-004,2020-01-02,REENTRY_WORTHWHILE,2019-12-27,4.6486369988861345,-1.0354779192850252
ACN,ACN-V61-005,2020-08-04,REENTRY_WORTHWHILE,2020-07-31,0.3000822410117992,-1.1734019964287365
ACN,ACN-V61-006,2020-12-11,HOLD_WINNER,2020-12-11,0.298891738166126,-0.8158318727929974
ACN,ACN-V61-007,2021-04-14,HOLD_WINNER,2021-04-09,2.9174517270408318,3.310360265456568
ACN,ACN-V61-008,2021-07-14,HOLD_WINNER,2021-07-09,4.8310724563862815,6.837930230463218
ADBE,ADBE-V61-001,2017-04-05,HOLD_WINNER,2017-03-31,4.4981782464149695,3.075739534251402
ADBE,ADBE-V61-002,2017-08-04,HOLD_WINNER,2017-08-04,-0.5624809762237397,0.36881005582798876
ADBE,ADBE-V61-003,2017-11-09,REENTRY_WORTHWHILE,2017-11-03,9.554591236828319,14.667021693114556
ADBE,ADBE-V61-004,2018-01-11,HOLD_WINNER,2018-01-05,0.2951894109096291,5.031105903658095
ADBE,ADBE-V61-005,2018-03-14,HOLD_WINNER,2018-03-09,4.497871671921897,8.412848552123984
ADBE,ADBE-V61-006,2018-09-12,REENTRY_WORTHWHILE,2018-09-07,1.4023805285025137,5.49227109665656
ADBE,ADBE-V61-007,2021-07-22,REENTRY_WORTHWHILE,2021-07-16,1.7934288392244964,-4.697452180731237
ADI,ADI-V61-002,2017-11-02,REENTRY_WORTHWHILE,2017-10-27,1.9762081907167988,-0.0674145219671447
ADI,ADI-V61-004,2019-05-06,REENTRY_WORTHWHILE,2019-05-03,-0.7797972271912937,0.0640808942693386
ADI,ADI-V61-005,2019-07-24,REENTRY_WORTHWHILE,2019-07-19,0.4033016426874285,-4.556084109092373
ADI,ADI-V61-006,2020-12-09,HOLD_WINNER,2020-12-04,2.1631744698742392,0.9578614542663064
ADI,ADI-V61-007,2021-04-13,REENTRY_WORTHWHILE,2021-04-09,1.8719144841364606,8.330986425192982
ADI,ADI-V61-008,2021-06-11,REENTRY_WORTHWHILE,2021-06-11,4.984397598839801,9.117517039640761
ADI,ADI-V61-009,2021-11-09,REENTRY_WORTHWHILE,2021-11-05,3.063785638204217,4.826667249887954
ADI,ADI-V61-010,2024-06-12,REENTRY_WORTHWHILE,2024-06-07,5.62070731312116,1.5299473973687325
ADI,ADI-V61-011,2025-12-01,HOLD_WINNER,2025-11-28,3.972550010856432,5.104025560749141
ADM,ADM-V61-001,2018-08-20,REENTRY_WORTHWHILE,2018-08-17,4.60202379607872,4.304040354321654
ADM,ADM-V61-002,2020-09-09,HOLD_WINNER,2020-09-04,0.21698199411202757,-2.3694321705645107
ADM,ADM-V61-003,2020-12-08,HOLD_WINNER,2020-12-04,0.35496863943799134,3.9793094040689714
ADM,ADM-V61-004,2022-01-13,HOLD_WINNER,2022-01-07,4.508525125364951,7.8238274631801765
