ticker,episode_id,signal_date,last_observed_session,signal_price,extension_votes,weekly_rsi_14,high_52w_proximity,return_26w,close_to_sma200,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end,SECTOR_RS_DELTA_4W,SECTOR_RS_DAMAGE_DELTA_4W,SPY_RS_DELTA_4W,HIGH_FAILURE_DELTA_4W,PARTICIPATION_WEAKENING_DELTA_4W,MARKET_STRESS_DELTA_4W,TREND_QUALITY_DELTA_4W,DECELERATION_DELTA_4W,sector_etf,first_boundary,vnext_path_label,vnext_outcome_end,feature_week,peer_count,PEER_HIGH_EXIT_SHARE_DELTA_4W,PEER_ADVANCE_BREADTH_DELTA_4W,month_end,business_available_date,guard_state,latest_fact_accepted_at,flag_count,BUSINESS_VETO,BUSINESS_UNKNOWN,target
AAPL,AAPL-R001,2012-08-17,2012-08-17,19.48475456,2,72.56916832535673,,0.2962896268730568,,-0.3181882297212779,0.0833032895026624,-0.3045798088821294,False,False,108,22,2013-02-21,0.0348628684780781,-0.0075099109554624,0.0653934658039714,,0.0770811003774872,,-0.1652009273865777,-1.4564737002686663,XLK,DOWNSIDE_PULLBACK,STRUCTURAL_BREAK,2013-02-21,2012-08-17,52,,0.49999999999999994,,,UNKNOWN,,,0.0,1.0,1.0
AAPL,AAPL-R002,2013-10-25,2013-10-25,16.18917465,2,63.97371449014668,0.9158742038735234,0.2774136963576434,1.1642187160637074,-0.0442274727081285,0.1429308454585112,0.1395451583444371,True,True,65,125,2014-04-29,-0.0466786810273589,-0.0497161716962633,-0.0338395077979085,-0.1363043266693032,-0.426627637099024,0.0241533630735737,0.0632036374783862,0.0627466431153982,XLK,NO_BOUNDARY,UNRESOLVED,2014-04-29,2013-10-25,52,0.05769230769230771,-0.25,2013-09-30,2013-10-01,PASS,2013-07-24 21:02:02,2.0,0.0,0.0,
AAPL,AAPL-R003,2014-05-02,2014-05-02,18.45606995,2,67.19816346960731,1.0,0.1530249419422187,1.1523220361602025,-0.0063610086176553,0.2814054050548287,0.2771074797535648,True,True,5,125,2014-10-30,0.1765509213815688,-0.0557697104591309,0.1654556823480071,-0.4114304241429183,-0.0795601856846009,-0.0417383848049729,-0.0567101970886647,-0.7695391191742721,XLK,UPSIDE_CONTINUATION,CONTINUATION,2014-10-30,2014-05-02,52,0.019230769230769273,0.019230769230769273,2014-04-30,2014-05-01,PASS,2014-04-24 21:02:12,1.0,0.0,0.0,0.0
AAPL,AAPL-R004,2015-01-30,2015-01-30,25.92523193,3,62.94241532466709,0.9851171605374088,0.2301397770246618,1.1779554966161,0.0125468208299266,0.1404820145807659,0.0437640080930994,True,True,1,78,2015-07-31,0.0457630089803472,-0.0722732804674111,0.0474372437028589,-0.108779768640164,-0.6470565294070237,0.0190751027262163,-0.1166667588216773,0.528592799222779,XLK,NO_BOUNDARY,UNRESOLVED,2015-07-31,2015-01-30,52,0.40384615384615385,-0.019230769230769218,2014-12-31,2015-01-01,PASS,2014-10-27 21:11:55,1.0,0.0,0.0,
AAPL,AAPL-R005,2015-07-17,2015-07-17,28.91586113,2,59.61864317170192,0.9779688887743748,0.2329004047039318,1.0902816897358556,-0.2493341300674588,0.0189016148453193,-0.244041732953225,False,False,120,1,2016-01-15,-0.0141007097134597,-0.0027163356200769,0.0136382519775067,0.0120972532174547,-0.2583983786892279,0.0444622802429929,-0.3089516898811716,-0.2005572624215655,XLK,DOWNSIDE_PULLBACK,LARGE_PULLBACK,2016-01-15,2015-07-17,52,0.17307692307692313,-0.17307692307692307,2015-06-30,2015-07-01,PASS,2015-04-28 21:01:16,1.0,0.0,0.0,1.0
AAPL,AAPL-R006,2016-10-14,2016-10-14,26.9234848,2,65.08189355074663,0.9882116725161384,0.083179624478368,1.1573346232059345,-0.0967205218545854,0.2424059522190826,0.2117684899393113,True,True,21,117,2017-04-18,0.0240373518361458,-0.0019627744893611,0.0212743537687591,-0.0601431558963444,-0.0952950695615622,-0.1835322637011996,0.6301408209928046,0.7626975795169055,XLK,DOWNSIDE_PULLBACK,TRADABLE_PULLBACK,2017-04-18,2016-10-14,52,0.038461538461538436,-0.019230769230769273,2016-09-30,2016-10-01,VETO,2016-07-27 20:32:36,3.0,1.0,0.0,0.0
AAPL,AAPL-R007,2016-12-16,2016-12-16,26.67983055,2,60.698625815308986,0.9909501221030644,0.2293811757103403,1.10731839760638,-0.001293616536856,0.3574537736335061,0.2610142398374417,True,True,9,100,2017-06-20,-0.0175574687103556,-0.023439698986899,-0.0490049884346626,-0.0631083908941975,-0.4467257071945953,-0.0556195345910663,-0.0697349245660297,0.4337537406793174,XLK,UPSIDE_CONTINUATION,CONTINUATION,2017-06-20,2016-12-16,52,-0.05769230769230771,-0.1346153846153847,2016-11-30,2016-12-01,VETO,2016-10-26 20:42:16,4.0,1.0,0.0,0.0
AAPL,AAPL-R008,2017-07-14,2017-07-14,34.57863998,2,61.961478776737664,0.954772258523688,0.2626346580115939,1.1406738782287904,-0.0020796321093482,0.1971589869914833,0.1971589869914833,True,True,11,126,2018-01-12,-0.0096033003405093,-0.0192882342276193,0.0079092404192731,-0.0515213968975601,-0.4233113018065366,0.0053735029743674,-0.221107471793476,0.0864705606412581,XLK,UPSIDE_CONTINUATION,CONTINUATION,2018-01-12,2017-07-14,52,-0.15384615384615385,0.1346153846153847,2017-06-30,2017-07-01,PASS,2017-05-03 20:32:23,2.0,0.0,0.0,0.0
AAPL,AAPL-R009,2017-11-03,2017-11-03,40.17873764,3,71.72686407494788,1.0,0.1673749715547281,1.1668612181592084,-0.097346480495349,0.08684130201558,0.08684130201558,True,True,65,126,2018-05-08,0.0021490768812322,-0.0505993267789003,0.0225341387495718,-0.2331642888899023,-0.7488102305478673,0.0109110826436589,-0.0462519172309801,-0.0818005784753848,XLK,DOWNSIDE_PULLBACK,TRADABLE_PULLBACK,2018-05-08,2017-11-03,52,0.05769230769230771,-0.11538461538461542,2017-10-31,2017-11-01,PASS,2017-08-02 20:31:28,2.0,0.0,0.0,0.0
AAPL,AAPL-R010,2018-08-03,2018-08-03,49.00570297,4,71.3537340842725,1.0,0.3061886651850869,1.180883370150069,-0.3115700860233982,0.1196877668215601,-0.1566866467500853,False,False,104,42,2019-02-05,0.0492849293920914,-0.0296728429039852,0.0094792157049203,-0.1607021732982143,-0.7484454068998962,-0.040604319518383,0.2014833744896423,0.3679824929539422,XLK,DOWNSIDE_PULLBACK,STRUCTURAL_BREAK,2019-02-05,2018-08-03,52,0.0,0.11538461538461542,2018-07-31,2018-08-01,PASS,2018-05-02 20:32:12,2.0,0.0,0.0,1.0
