review_id,review_decision,review_reason
SG5-0001,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0002,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0003,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0004,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0005,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0006,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0007,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0008,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0009,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0010,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0011,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0012,INVALID,REPORTED_BASIS_NOT_BOUND
SG5-0013,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0014,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0015,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0016,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0017,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0018,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0019,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0020,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0021,INVALID,INITIAL_GUIDANCE_SELECTED_AS_CURRENT
SG5-0022,INVALID,INITIAL_GUIDANCE_SELECTED_AS_CURRENT
SG5-0023,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0024,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0025,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0026,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0027,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0028,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0029,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0030,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0031,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0032,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0033,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0034,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0035,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0036,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0037,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0038,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0039,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0040,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0041,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0042,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0043,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0044,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0045,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0046,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0047,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0048,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0049,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0050,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0051,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0052,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0053,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG5-0054,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG5-0055,INVALID,PRIOR_RANGE_SELECTED_INSTEAD_OF_CURRENT_POINT
SG5-0056,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0057,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0058,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG5-0059,INVALID,PRIOR_RANGE_SELECTED_INSTEAD_OF_CURRENT_POINT
SG5-0060,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0061,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0062,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG5-0063,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG5-0064,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG5-0065,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0066,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG5-0067,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG5-0068,INVALID,QUARTER_GUIDANCE_MAPPED_TO_FULL_YEAR
SG5-0069,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0070,INVALID,REPORTING_QUARTER_MAPPED_TO_ANNUAL_GUIDANCE
SG5-0071,INVALID,COMPARISON_QUARTER_MAPPED_AS_GUIDANCE_PERIOD
SG5-0072,INVALID,REPORTING_QUARTER_MAPPED_TO_ANNUAL_GUIDANCE
SG5-0073,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0074,INVALID,COMPARISON_YEAR_MAPPED_AS_GUIDANCE_PERIOD
SG5-0075,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0076,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0077,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0078,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0079,VALID,ATOMIC_BINDING_CONFIRMED
SG5-0080,VALID,ATOMIC_BINDING_CONFIRMED
