review_id,review_decision,review_reason
SG8-0001,VALID,ATOMIC_BINDING_CONFIRMED
SG8-0002,VALID,ATOMIC_BINDING_CONFIRMED
SG8-0003,VALID,ATOMIC_BINDING_CONFIRMED
SG8-0004,VALID,ATOMIC_BINDING_CONFIRMED
SG8-0005,VALID,ATOMIC_BINDING_CONFIRMED
SG8-0006,VALID,UNCHANGED_CURRENT_GUIDANCE_CONFIRMED
SG8-0007,VALID,ATOMIC_BINDING_CONFIRMED
SG8-0008,VALID,UNCHANGED_CURRENT_GUIDANCE_CONFIRMED
SG8-0009,VALID,ATOMIC_BINDING_CONFIRMED
SG8-0010,VALID,CURRENT_COMPONENT_RANGE_CONFIRMED
SG8-0011,VALID,ATOMIC_BINDING_CONFIRMED
SG8-0012,VALID,ATOMIC_BINDING_CONFIRMED
SG8-0013,VALID,CURRENT_RANGE_DISTINGUISHED_FROM_PRIOR
SG8-0014,VALID,ATOMIC_BINDING_CONFIRMED
SG8-0015,VALID,ATOMIC_BINDING_CONFIRMED
SG8-0016,VALID,ATOMIC_BINDING_CONFIRMED
SG8-0017,VALID,ATOMIC_BINDING_CONFIRMED
SG8-0018,VALID,UNCHANGED_CURRENT_GUIDANCE_CONFIRMED
SG8-0019,VALID,UNCHANGED_CURRENT_GUIDANCE_CONFIRMED
SG8-0020,VALID,CURRENT_RANGE_DISTINGUISHED_FROM_PRIOR
SG8-0021,INVALID,BRIDGE_COMPONENT_MISCLASSIFIED_AS_GUIDANCE
SG8-0022,VALID,CURRENT_RANGE_DISTINGUISHED_FROM_PRIOR
SG8-0023,VALID,ATOMIC_BINDING_CONFIRMED
SG8-0024,INVALID,RESPECTIVELY_FIRST_RANGE_ASSIGNED_NON_GAAP
SG8-0025,INVALID,PRIOR_GUIDANCE_RANGE_SELECTED_AS_CURRENT
SG8-0026,VALID,REAFFIRMED_CURRENT_GUIDANCE_CONFIRMED
SG8-0027,VALID,ATOMIC_BINDING_CONFIRMED
