review_id,review_decision,review_reason
SG7-0001,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0002,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0003,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0004,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0005,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0006,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0007,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0008,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0009,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0010,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0011,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0012,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0013,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0014,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0015,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0016,INVALID,REPORTING_PERIOD_MAPPED_TO_WRONG_FISCAL_YEAR
SG7-0017,INVALID,REPORTING_PERIOD_MAPPED_TO_WRONG_FISCAL_YEAR
SG7-0018,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0019,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0020,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0021,INVALID,PRIOR_GUIDANCE_SELECTED_AS_CURRENT
SG7-0022,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG7-0023,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG7-0024,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0025,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0026,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0027,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0028,INVALID,ORGANIC_GROWTH_RANGE_MISCLASSIFIED_AS_EPS
SG7-0029,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0030,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0031,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0032,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0033,INVALID,ORGANIC_GROWTH_RANGE_MISCLASSIFIED_AS_EPS
SG7-0034,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0035,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0036,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0037,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0038,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0039,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0040,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0041,INVALID,ANNUAL_GUIDANCE_MAPPED_TO_QUARTER
SG7-0042,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0043,INVALID,ANNUAL_GUIDANCE_MAPPED_TO_QUARTER
SG7-0044,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0045,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0046,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0047,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0048,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0049,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0050,INVALID,LAST_DISCLOSED_RANGE_SELECTED_AS_CURRENT
SG7-0051,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG7-0052,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0053,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG7-0054,INVALID,LAST_DISCLOSED_RANGE_SELECTED_AS_CURRENT
SG7-0055,INVALID,LAST_DISCLOSED_RANGE_SELECTED_AS_CURRENT
SG7-0056,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0057,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0058,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0059,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG7-0060,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0061,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0062,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0063,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG7-0064,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0065,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0066,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG7-0067,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0068,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0069,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0070,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0071,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0072,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0073,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0074,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0075,INVALID,QUARTER_GUIDANCE_MAPPED_TO_FULL_YEAR
SG7-0076,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0077,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0078,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0079,VALID,ATOMIC_BINDING_CONFIRMED
SG7-0080,INVALID,HISTORICAL_GUIDANCE_SELECTED_AS_CURRENT
