review_id,review_decision,review_reason
SG4-0001,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0002,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0003,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0004,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0005,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0006,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0007,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0008,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0009,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0010,AMBIGUOUS,ONE_RANGE_APPLIES_TO_REPORTED_AND_NON_GAAP
SG4-0011,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0012,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0013,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0014,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0015,INVALID,EX_PENSION_MTM_BASIS_NOT_BOUND
SG4-0016,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0017,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0018,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0019,INVALID,Q2_RANGE_MAPPED_TO_FULL_YEAR
SG4-0020,INVALID,Q2_RANGE_MAPPED_TO_FULL_YEAR
SG4-0021,INVALID,PRIOR_RANGE_SELECTED_AFTER_CURRENT_RANGE
SG4-0022,INVALID,EX_PENSION_MTM_BASIS_NOT_BOUND
SG4-0023,INVALID,Q1_PRE_SPLIT_RANGE_MAPPED_TO_FULL_YEAR
SG4-0024,INVALID,INITIAL_RANGE_SELECTED_INSTEAD_OF_REVISED_RANGE
SG4-0025,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0026,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0027,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0028,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0029,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0030,INVALID,PRIOR_RANGE_SELECTED_AFTER_CURRENT_RANGE
SG4-0031,AMBIGUOUS,ONE_RANGE_APPLIES_TO_REPORTED_AND_NON_GAAP
SG4-0032,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0033,INVALID,REPORTING_QUARTER_MAPPED_TO_ANNUAL_GUIDANCE
SG4-0034,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0035,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0036,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0037,INVALID,AFTER_DIVIDENDS_SUBTYPE_NOT_BOUND
SG4-0038,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0039,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0040,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0041,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0042,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0043,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0044,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0045,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0046,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0047,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0048,INVALID,Q2_RANGE_MAPPED_TO_FULL_YEAR
SG4-0049,INVALID,Q2_RANGE_MAPPED_TO_FULL_YEAR
SG4-0050,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0051,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0052,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0053,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0054,INVALID,Q2_RANGE_MAPPED_TO_FULL_YEAR
SG4-0055,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0056,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0057,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0058,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0059,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0060,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0061,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0062,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0063,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0064,INVALID,PRIOR_RANGE_SELECTED_INSTEAD_OF_RAISED_RANGE
SG4-0065,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0066,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0067,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0068,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0069,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0070,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0071,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0072,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0073,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0074,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0075,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0076,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0077,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0078,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0079,VALID,ATOMIC_BINDING_CONFIRMED
SG4-0080,VALID,CURRENT_PROJECTION_REAFFIRMED
